Person,Text
A,Thank you for calling Triple-A bank.
A,My name is Arianna.
A,May I have your name?
C,James breed; 
A,Oh hello Mr. Breed.
A,How can I make you smile today?
C,Why do I have fees on my bank account? 
C,I want those removed. 
C,Very ridiculous.
C,I can't even afford them.
A,Oh. I understand that fees are really costly. 
A,Let me check your account to see what really happened.
C,Ok and remove the fees
A,I'll see what I can do Mr. Breed. 
A,As I have checked you were charged some fees because you were not able to pay on time so that means we really cannot do anything about it anymore.
C,What do you mean you can't do anything? 
C,You are supposed to help me.
C,Can you at least try to remove the fees?
A,"No, no sir. "
A,I can't do that because you did not make a payment.
C,If you just look at my account I made a payment but it was just a few hours late.
C,Can you at least consider? 
C,I had to look for funds just to make a payment but I did my best to pay on my due date.
C,I was just late for the cutoff.
C,Can you please just remove at least one fee?
A,"As much as I'd love to help you Mr. Breed, my hands are tied right now."
A,There's nothing I can do.
A,I already told you the reason and I'm afraid you'll have to pay the fees you'll have to pay the fees for now.
A,I want to let you know that you can actually avoid these fees by paying before 4 p.m. of your due date.
A,I already know that. 
C,You already explained that.
C,You keep telling me the same thing but you're not doing anything.
C,I will make sure to call back and speak to your supervisor. 
C,You are not helping me at all even though I've been a customer for five years!
C,Terrible service!
A,I'm really really really sorry sir.
C,No. You are not sorry.
A,Thank you for calling Triple-A bank.
A,My name is Maria.
A,May I have your name?
C,James breed; 
A,Oh hello Mr. Breed.
A,How can I make you smile today?
C,Why do I have fees on my bank account?
C,I want those removed.
C, Very ridiculous.
C,I can't even afford them.
A,Oh. I understand that fees are really costly.
A,Let me check your account to see what really happened.
C,Ok.
C,And remove the fees.
A,I'll see what I can do Mr. Breed.
A,"As I have checked, the account was charged some fees because there was no payment made before the cut off time of 4 p.m."
C,I made a payment.
C,I did my best to look for funds so I could pay on my due date.
C,It's just that it was done after 4 p.m.
A,I truly understand what you're going through Mr. Breed.
A,"However, the fees charged were valid and therefore, the fees can no longer be refunded or removed."
C,Like I said I really did my best. Can you please remove even just one fee?
C,I really can't afford it.
C,Maybe you can make a consideration?
C,Please. Besides I made a payment on the due date itself.
A,"I understand your concern sir and as much as I want to remove the fees, they really can no longer be removed."
A,"However, since you requested, okay, I will send a request to the management and it's up to them to decide whatever course of action they will do after reviewing your account but this doesn't guarantee that the fees will be refunded."
C,Okay I understand that it's worth trying though.
C,Thank you for doing that.
A,You're welcome Mr. Breed.
A,I have already submitted a request and you will receive an email or text message after three days for the decision.
C,Thanks for trying.
A,Thank you for calling Shapes Reward.
A,My name is Mathilda.
A,Can I have your name please?
C,This is ELISA Collins
A,Hi Miss Collins.
A,How can I be of service?
C,I wanted to pay my bills using my rewards points but I can't log into your website.
C,What's happening?
A,Oh I'm so sorry for the inconvenience for the website.
A,May I know what error message you got?
C,Error message?
C,Where do I get that error message?
A,You mentioned you were trying to log in.
A,"When you logged into shapes rewards website, can you please tell me what happened after?"
C,"Oh I just entered my username and my password and then when I clicked log in, the computer the screen."
C,"What I'm seeing, it's the same."
C,It's loading and then it goes back to the login page so I can't get in and I need to use my rewards because I've saved them for so long now.
A,I understand Miss Collins.
A,Alright this what actually happened.
A,When you clicked log in and the screen or the page goes back to the exact same page after loading that means that the page is looping.
C,But what looping?
C,Is your website down?
A,Our website is actually up and running.
A,"However, your browser has an issue."
A,Looping is when the browser page goes back to the same page again and again even though you've already taken action.
A,"Just like in your case, you've clicked log in but it doesn't go to your profile on Shapes Rewards, right?"
A,It just keeps going back to the login page but don't worry you've got the right person on the line to help you.
A,We just need to do quick troubleshooting on your browser.
C,Okay.
A,Great!
A,Are you using Mac or PC?
C,Windows.
A,Ok Windows PC is good.
A,May I know what browser you're using?
C,I'm not really sure.;
A,Is it Google Chrome or Firefox?
C,Oh it's Chrome.
A,"Oh ok, that's great."
A,May I know the chrome version?
C,I am really sorry honey but I don't have any idea.
C,My granddaughter just gifted me this computer last Christmas and she's not here right now.
A,Oh that's ok Miss Collins.
A,I'll just give you instructions and we'll get through this.
C,Thank you honey.
C,So you said version?
A,"Yes, can you please close the Chrome browser and open it again after?"
C,"Yes, done."
A,That's good. 
A,"Now that you have the browser open, do you see 3 dots that are aligned vertically on the upper right part of your screen?"
C,Yes
A,Please click that and you will see a drop-down box.
A,Then look for the word help or about Google Chrome.
C,I do see help that about Google Chrome.
C,I clicked it.
C,Oh it's version 68 and a couple random numbers.
A,Wow thank you.
A,Looks like you have the most updated browser versions so far.
A,"So, the next thing, we will do is clear cache from your browser."
A,This will not affect your stored files or anything on your computer.
A,It's just that most of the time the information that you click out to the Internet gets saved in a cache memory or storage in your browser and this eventually results to latency or what you just experienced.
C,Oh this is all so new to me.
C,But you don't have to worry because once you do this once it's easier to do this again next time if it happens again.
A,So just click those three dots that you clicked earlier and look for more tools.
A,Did you see it?
C,Ok.
A,Then you will see clear browsing data.
C,Okay I see basic and advanced.
A,"Alright, we are on the right track."
A,We can just go to the basic part and make sure you check all the checkboxes for the browsing history cookies and cached images.
C,"Ok, done it."
A,"Then, if you see the time range you can choose all time. "
A,Then just click clear data.
C,"Okay, it's loading."
A,Yes yes that's normal.
A,"So once it's done loading, you will be on the same page."
A,"So, just press f5 on your keyboard to let it refresh and then you can start logging in again."
C,Ok I will try again.
A,"Ok, let me know what happens."
C,"Oh, I can login now."
C,I'm so happy.
A,I am so happy for you too Miss Collins and it has been my pleasure to assist you.
A,Did I address all your concerns today?
C,"Very much, thank you."
A,You're welcome.
A,Thanks for calling Shapes Rewards and enjoy your day.
A,Welcome to Grand Number One.
A,My name Selena.
A,May I have your name?
C,This is Rebecca Portman.
A,Hello Miss Portman.
A,How can I provide you an excellent service today?
C,Yes I just lost my debit card one hour ago.
C,I tried looking for it but I couldn't so I thought I'd let you know.
A,Oh I'm terribly sorry to hear that.
A,"But rest assured, I'll be here to make sure everything's well taken care of."
C,Thank you.
A,"To put your account, can I please have your account number or debit card number?"
C,I can't memorize my card number though but my account number is 123456785.
A,Oh yes.
A,"Sorry yeah, I should have asked for your account number."
A,And for additional security can I also have your birthdate and residential address please?
C,July 25 1985.
C,"Unit 888, Silver Lane Avenue, New York, New York, 10012.;"
A,"Thank you so much, appreciate it."
A,I already have your account information here.
A,Let me check your transactions for you real quick.
A,"I see that the last transaction made was using your debit card at Target for 179 54, 179 dollars and 54 cents."
A,"Yes, This just posted today."
A,Is this valid?
