file,category_accuracy (%),quality_accuracy (%),sentiment_accuracy (%)
concatenated_predictions.csv,90.37,90.83,48.17
concatenated_predictions.csv,82.11,85.78,54.59
concatenated_predictions.csv,85.78,88.99,50.46
concatenated_predictions.csv,87.61,87.61,48.17
concatenated_predictions.csv,91.28,90.37,50.0
concatenated_predictions.csv,92.2,89.91,66.51
concatenated_predictions.csv,92.66,91.74,44.95
concatenated_predictions.csv,93.12,89.91,60.09
concatenated_predictions.csv,92.66,90.83,60.09
concatenated_predictions.csv,91.74,89.91,45.41
concatenated_predictions.csv,92.66,90.37,49.08
concatenated_predictions.csv,93.12,91.28,70.18
concatenated_predictions.csv,93.12,91.28,70.18
concatenated_predictions.csv,91.74,90.37,41.28
concatenated_predictions.csv,91.74,90.83,54.59
concatenated_predictions.csv,93.12,88.99,41.74
concatenated_predictions.csv,93.12,88.99,41.74
concatenated_predictions.csv,93.12,87.61,48.17
concatenated_predictions.csv,88.99,90.83,36.24
concatenated_predictions.csv,88.99,90.83,36.24
concatenated_predictions.csv,88.99,90.83,36.24
predictions.csv,89.45,86.24,54.13
concatenated_predictions.csv,88.99,90.83,36.24
predictions.csv,89.45,86.24,54.13
concatenated_predictions.csv,88.99,90.83,36.24
predictions.csv,89.45,86.24,54.13
predictions.csv,89.91,87.61,45.41
predictions.csv,94.95,91.74,54.59
predictions.csv,88.07,83.49,51.38
predictions.csv,90.37,87.61,48.17
predictions.csv,94.04,91.28,51.38
predictions.csv,96.33,93.58,61.47
predictions.csv,91.74,90.37,59.63
predictions.csv,91.28,89.45,59.63
predictions.csv,95.87,91.74,72.94
predictions.csv,95.41,93.12,73.85
