Person,Text
A,My name is Lauren.  Can I have your name?
C,
A,How can I help you?
C,
A,
C,I did.  Do you need the customer number?
A,
C,It's 1-5-2-4-3.
A,And the year making model of your vehicle?
C,
A,
C,We really enjoy it.
A,
A,"Can I have you verify your address and phone number, please?"
C,That's an RMUTA 84097.  And my phone number is 801-431-1000.
A,"I located your information.  The newest version we have available for your vehicle is version 7.7, which was released  in March of 2012."
A,
C,"Well, can we wait just a second?"
A,It looks as though you have an updated your vehicle for three years.  So that would be the equivalent of getting three years' worth of updates for the price of one.
C,
A,
C,
A,I would definitely recommend taking advantage of the extra $50 off before it expires.
C,
A,less.
A,
C,
C,
