Start Time,End Time,Speaker,Text
,,,
0,32.7,Customer,"Good evening and welcome to smith and martin law business, I'm Joyce and how might I help you?"
,,,
32.7,35.78,Customer," Hello? Wow, I'm glad your office is still open"
,,,
35.78,40.3,Customer, I'd like to set up a appointment with Mr. Smith to discuss about legal separation issues.
,,,
40.3,46.82,Customer," Yes, ma'am you can call us 24-7 and yes. I can help you set up an meeting with Councillor Smith."
,,,
46.82,49.1,Customer, When is your preferred date and time?
,,,
49.1,50.9,Customer,As soon as possible time.
,,,
50.9,55.82,Customer," I see. Before anything else, may I have a name please so I can address you properly?"
,,,
55.82,58.02,Customer, As well as state it for  the appointment log.
,,,
58.02,61.02,Customer, Oh Mary Craig
,,,
61.02,61.9,Customer,"Thank-you Ms Craig, Let's see."
,,,
61.9,66.38,Customer, Councillor Smith's earliest availability is on Friday at 8am.
,,,
66.38,69.5,Customer, What? That long? And that early?
,,,
69.5,71.82,Customer, It's only Monday and I can't stand one more day.
,,,
71.82,76.38,Customer," I'm sorry to hear that, ma'am. Unfortunately, that's the only time that's free."
,,,
76.38,79.42,Customer, I'll double check to see if there's another fee slot sooner than that.
,,,
79.42,85.82,Customer," I believe there's one here, my apologies, as I didn't see it."
,,,
85.82,88.62,Customer, It's at Thursday at 5pm.
,,,
88.62,90.7,Customer," Oh well, that'll have to do than."
,,,
90.7,95.98,Customer," Very well, man. So I'll book you for a meeting with Councillor Smith and Thursday at 5pm."
,,,
95.98,99.26,Customer, Alrighty then. Do you need directions on how to get here?
,,,
99.26,102.54,Customer,"Nah, I've been there before. The counselor knows me very well."
,,,
102.54,105.18,Customer," Very good, ma'am. I hope everything goes well."
,,,
105.18,108.38,Customer, Thank you. Would there be anything else I can help you with?
,,,
108.38,111.82,Customer,"Nah, that's fine. So long as we get settled. Very well ma'am."
,,,
111.82,113.34,Customer, Thank you for calling Smith law offices have a nice day today.
,,,
113.34,116.3,Customer,You too
