Start Time,End Time,Speaker,Transcript
0.00,2.72,SPEAKER_01, So are you going to ask me an discrete question?
2.72,6.12,SPEAKER_02," Yeah, we're going to say we better talk in discrete question, Sven."
6.12,9.72,SPEAKER_02, So I hope I didn't wake you.
9.72,10.72,SPEAKER_01," No, no."
10.72,11.72,SPEAKER_01, It's no problem.
11.72,12.72,SPEAKER_02, It's not at all.
12.72,15.32,SPEAKER_02," It's about 10, but I just I just got to go with me till that."
15.32,16.32,SPEAKER_01, Yeah.
16.32,17.76,SPEAKER_02, So this is a free phone call.
17.76,20.00,SPEAKER_02, I can even talk half an hour if we want to.
20.00,22.40,SPEAKER_02," But it's recorded, so you know."
22.40,23.40,SPEAKER_02, Yeah.
23.40,27.20,SPEAKER_02," None of those illegal activities, okay?"
27.20,28.20,SPEAKER_01, Okay.
28.20,29.56,SPEAKER_01, So we have to talk about business.
29.56,30.56,SPEAKER_02, No.
30.56,31.56,SPEAKER_02, No.
31.56,33.96,SPEAKER_02, You don't have to talk about business.
33.96,36.36,SPEAKER_02, So how are you?
36.36,40.96,SPEAKER_01," Yeah, I'm trying to the state Saturday to New York."
40.96,41.96,SPEAKER_02," Oh, you are."
41.96,44.84,SPEAKER_01," Yeah, if the visit Nancy in New York."
44.84,48.76,SPEAKER_02," This is one of your annual trips, or do you have a good idea?"
48.76,50.56,SPEAKER_02," Yeah, it's a renewal or a..."
50.56,51.56,SPEAKER_01," No, no, no."
51.56,57.56,SPEAKER_01," It's just well, I have to take a few days of vacation because I'm switching jobs at the beginning of September."
57.56,58.56,SPEAKER_02, Oh.
59.56,67.00,SPEAKER_01," All of that that I was pining about when we last met come true, I'm going to be the number one in Düsseldorf."
67.00,68.00,SPEAKER_00, Mm-hmm.
68.00,83.80,SPEAKER_01," But the situation is in Cologne, it has deteriorated rapidly, which I can explain my boss got more or less canned."
83.80,84.80,SPEAKER_01, Oh.
84.80,85.80,SPEAKER_01," And, you know, from..."
85.80,86.80,SPEAKER_01, Yeah.
86.80,89.56,SPEAKER_01," Just from, you know, one minute to the next."
89.56,90.56,SPEAKER_01, Oh.
90.56,94.16,SPEAKER_01, And I got stuck with being the boss.
94.16,95.16,SPEAKER_00, Mm-hmm.
95.16,100.32,SPEAKER_01," And 20 hours later, they offered me the job in Düsseldorf."
100.32,105.68,SPEAKER_01, So it was really a very strange couple of days there in April.
105.68,106.68,SPEAKER_02, Yeah.
106.68,112.88,SPEAKER_01," I don't know why this happened, but I must have done something right at some point."
112.88,113.88,SPEAKER_02, Yeah.
113.88,114.88,SPEAKER_02, Hey.
114.88,116.32,SPEAKER_02, You knew the right people and you've been doing good.
116.80,117.32,SPEAKER_01, Right.
117.32,119.16,SPEAKER_01, You knew the right people.
119.16,120.16,SPEAKER_01, Keep my nose clean.
120.16,121.16,SPEAKER_01, That's right.
121.16,125.36,SPEAKER_02, So now you can change everything around like you like it.
125.36,126.36,, Yeah.
126.36,128.56,SPEAKER_01, In the fact that we have no money.
128.56,129.56,SPEAKER_02, Yeah.
129.56,130.56,SPEAKER_01, You can change it.
130.56,132.12,SPEAKER_02, And if you got to have any challenges.
132.12,133.12,SPEAKER_01, Right.
133.12,134.12,SPEAKER_01, Civil service.
134.12,136.12,SPEAKER_01," You know, you have to change everything with no money."
136.12,137.12,, Mm-hmm.
137.12,138.92,SPEAKER_01," But other than that, everything's..."
138.92,139.92,SPEAKER_01, No.
139.92,141.32,SPEAKER_01," I mean, that's very good."
141.32,142.32,SPEAKER_01, I'm very excited.
142.32,143.32,SPEAKER_02, Yeah.
143.32,144.32,SPEAKER_02," I'm a good, exciting."
144.32,150.08,SPEAKER_01, And I gave it that we had to celebrate as our 150th anniversary music school last week.
150.08,158.68,SPEAKER_01," And I gave it a little speech in the city hall and, you know, the mayor gave a speech which I wrote for him and all that kind of stuff."
158.68,159.68,SPEAKER_02, Wow.
159.68,161.68,SPEAKER_02, Sounds impressive.
161.68,162.68,SPEAKER_01, Yeah.
162.68,163.68,SPEAKER_01, For some modest.
163.68,167.04,SPEAKER_01," No, actually, it really was very nice."
167.04,168.04,SPEAKER_02, Yeah.
168.04,169.04,SPEAKER_01," Good feeling, yeah."
169.04,170.04,SPEAKER_02, Yeah.
171.04,174.64,SPEAKER_02," It's quite an event and you're lucky that you're there at that time, you know?"
174.64,175.64,SPEAKER_01, Right.
175.64,176.64,SPEAKER_02, Right.
176.64,178.80,SPEAKER_02, And more press and stuff for the school itself.
178.80,179.80,SPEAKER_02, Yeah.
179.80,180.80,SPEAKER_02, Which is good.
180.80,182.60,SPEAKER_02, So that's a good thing.
182.60,183.60,SPEAKER_01, Yeah.
183.60,184.60,SPEAKER_02, And that...
184.60,187.60,SPEAKER_02," Well, the one important thing I'd better ask you before I forget, but it doesn't matter."
